3997_182399_000000_000000	XII	twelve	true	25.95	26.745	27.58208
3997_182399_000001_000000	WHY THERE IS A BLACK HEAD IN THE BUZZARD FAMILY	WHY THERE IS A BLACK HEAD IN THE BUZZARD FAMILY	true	26.745	30.64	22.982513
3997_182399_000002_000000	Ol' Mistah Buzzard had just told the story of why he has a bald head and is proud of it.	ol' Mistah Buzzard had just told the story of why he has a bald head and is proud of it.	true	32.42	40.21	23.512152
3997_182399_000002_000001	You know he hasn't a feather on it, and it is very, very red.	You know he hasn't a feather on it, and it is very, very red.	true	40.52	46.33	22.363796
3997_182399_000002_000002	It was a very interesting story, and it had been listened to with the closest attention by a lot of the little meadow and forest people.	It was a very interesting story, and it had been listened to with the closest attention by a lot of the little meadow and forest people.	true	46.7	56.28	22.735931
3997_182399_000002_000003	Unc' Billy Possum, who is Ol' Mistah Buzzard's particular friend, both having come from "way down souf," happened along just in time to hear the end of it.	u n c' Billy Possum, who is ol' Mistah Buzzard's particular friend, both having come from "way down souf," happened along just in time to hear the end of it.	false	56.28	68.29	22.128927
3997_182399_000003_000000	"May Ah ask yo' a question, Brer Buzzard?" said he.	"May Ah ask yo' a question, Brer Buzzard?" said he.	false	69.29	73.63	23.817041
3997_182399_000004_000000	"Cert'nly, Brer Possum.	"Cert'nly, Brer Possum.	true	74.09	75.84	22.8626
3997_182399_000004_000001	Cert'nly," replied Ol' Mistah Buzzard.	Cert'nly," replied ol' Mistah Buzzard.	true	75.84	79.15	25.576868
3997_182399_000005_000000	"Is Buzzard really your fam'ly name?" asked Unc' Billy.	"Is Buzzard really your fam'ly name?" asked u n c' Billy.	false	79.88	84.52	23.82338
3997_182399_000006_000000	"No, Brer Possum, it isn't," replied Ol' Mistah Buzzard.	"No, Brer Possum, it isn't," replied ol' Mistah Buzzard.	false	85.07	89.74	22.08094
3997_182399_000006_000001	Everybody looked surprised.	Everybody looked surprised.	true	89.96	92.1	23.77989
3997_182399_000006_000002	You see, no one ever had heard him called anything but Buzzard.	You see, no one ever had heard him called anything but Buzzard.	true	92.1	97.15	23.578016
3997_182399_000006_000003	But no one said anything, and after a minute or two Ol' Mistah Buzzard explained.	But no one said anything, and after a minute or two ol' Mistah Buzzard explained.	true	97.43	103.78	22.639961
3997_182399_000007_000000	"Mah fam'ly name is Vulture," said he.	"Mah fam'ly name is Vulture," said he.	true	104.54	107.53	23.574162
