filename,device
./dataset_libritts/6070/86744/6070_86744_000041_000001.wav,1
./dataset_libritts/6070/86744/6070_86744_000023_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000041_000002.wav,3
./dataset_libritts/6070/86744/6070_86744_000032_000000.wav,3
./dataset_libritts/6070/86744/6070_86744_000005_000000.wav,3
./dataset_libritts/6070/86744/6070_86744_000019_000000.wav,4
./dataset_libritts/6070/86744/6070_86744_000055_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000037_000000.wav,2
./dataset_libritts/6070/86744/6070_86744_000049_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000062_000001.wav,0
./dataset_libritts/6070/86744/6070_86744_000044_000000.wav,1
./dataset_libritts/6070/86744/6070_86744_000016_000000.wav,4
./dataset_libritts/6070/86744/6070_86744_000043_000001.wav,2
./dataset_libritts/6070/86744/6070_86744_000065_000001.wav,5
./dataset_libritts/6070/86744/6070_86744_000065_000000.wav,1
./dataset_libritts/6070/86744/6070_86744_000052_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000007_000000.wav,3
./dataset_libritts/6070/86744/6070_86744_000030_000000.wav,0
./dataset_libritts/6070/86744/6070_86744_000013_000003.wav,2
./dataset_libritts/6070/86744/6070_86744_000057_000001.wav,4
./dataset_libritts/6070/86744/6070_86744_000057_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000060_000000.wav,4
./dataset_libritts/6070/86744/6070_86744_000035_000000.wav,3
./dataset_libritts/6070/86744/6070_86744_000002_000000.wav,2
./dataset_libritts/6070/86744/6070_86744_000024_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000046_000000.wav,4
./dataset_libritts/6070/86744/6070_86744_000013_000001.wav,3
./dataset_libritts/6070/86744/6070_86744_000038_000000.wav,5
./dataset_libritts/6070/86744/6070_86744_000063_000000.wav,1
./dataset_libritts/6070/86744/6070_86744_000001_000000.wav,4
./dataset_libritts/6070/86744/6070_86744_000036_000000.wav,1
./dataset_libritts/6070/86744/6070_86744_000048_000000.wav,3
./dataset_libritts/6070/86744/6070_86744_000066_000004.wav,5
