8131_117029_000000_000000	Chapter XVII	Chapter seventeen	true	12.06	13.59	26.732008
8131_117029_000001_000000	SECURITY PAYOFF	SECURITY PAYOFF	true	13.59	15.43	26.35583
8131_117029_000002_000000	It was three days before Bruce Gordon made up his mind to hunt up Security; another four days passed after they had sent him back to wait until they received orders from Headquarters for him.	It was three days before Bruce Gordon made up his mind to hunt up Security; another four days passed after they had sent him back to wait until they received orders from Headquarters for him.	true	18.02	29.86	24.431652
8131_117029_000002_000001	There was a man coming from Earth on a second ship who would see him.	There was a man coming from Earth on a second ship who would see him.	true	31.52	35.56	22.512028
8131_117029_000002_000002	They gave him a chauffeur back to the Chicken Coop, and politely indicated that it would be better if he stayed within reach.	They gave him a chauffeur back to the Chicken Coop, and politely indicated that it would be better if he stayed within reach.	true	35.75	42.49	24.057909
8131_117029_000003_000000	The dome had been down a full week when he watched the last of Randolph's equipment packed onto a truck and hauled away.	The dome had been down a full week when he watched the last of Randolph's equipment packed onto a truck and hauled away.	true	43.58	50.08	22.087435
8131_117029_000003_000001	The little publisher was back at the _Crusader_ again.	The little publisher was back at the underscore Crusader underscore again.	false	51.32	54.31	28.886347
8131_117029_000003_000002	Rusty was busy opening his bar, and the others were all busy.	Rusty was busy opening his bar, and the others were all busy.	true	54.44	58.93	19.246405
8131_117029_000003_000003	Only Gordon and Sheila were left.	Only Gordon and Sheila were left.	true	59.57	61.9	18.072233
8131_117029_000004_000000	He heard her coming down the old stairs, and ducked out through the private exit, snapping his helmet in place as he went through the seal. She must have sensed his desire to be left alone, since she made no attempt to follow.	He heard her coming down the old stairs, and ducked out through the private exit, snapping his helmet in place as he went through the seal. She must have sensed his desire to be left alone, since she made no attempt to follow.	true	62.51	77.685	21.830744
8131_117029_000004_000001	She'd asked no questions and hadn't even tried to convince him that he'd be sent back to Earth now.	She'd asked no questions and hadn't even tried to convince him that he'd be sent back to Earth now.	true	77.685	84.31	24.631058
8131_117029_000005_000000	He muttered to himself as he headed over the rubble toward the previously domed section.	He muttered to himself as he headed over the rubble toward the previously domed section.	true	84.44	89.56	22.311954
8131_117029_000006_000000	Out at the spaceport, ships were dropping down from Deimos with the supplies that had been held up so long, and a long line of trucks went snaking by.	Out at the spaceport, ships were dropping down from Deimos with the supplies that had been held up so long, and a long line of trucks went snaking by.	true	90.02	98.86	26
8131_117029_000006_000001	Credit had been established again, and the businesses were open.	Credit had been established again, and the businesses were open.	true	99.08	103.06	23.581573
8131_117029_000007_000000	For the time being, the hoods and punks were having a tough time of it, with working papers demanded as constant identification.	For the time being, the hoods and punks were having a tough time of it, with working papers demanded as constant identification.	true	104.57	112.06	21.833086
8131_117029_000007_000001	And while it lasted, at least, Marsport was beginning to have its face lifted.	And while it lasted, at least, Marsport was beginning to have its face lifted.	true	112.43	117.85	23.808386
8131_117029_000007_000002	Wrecks were being broken up, with salvageable material used for newer homes. Gordon came to a row of temporary bubbles, individual dwellings built like the dome, but opaque for privacy.	Wrecks were being broken up, with salvageable material used for newer homes. Gordon came to a row of temporary bubbles, individual dwellings built like the dome, but opaque for privacy.	true	118.49	132.43	22.454292
8131_117029_000008_000000	As Gordon drew closer to the old foundation of the dome, the feeling around began to clarify into something halfway between what he had seen on the real frontier and what he had known as a kid in Earth's slums.	As Gordon drew closer to the old foundation of the dome, the feeling around began to clarify into something halfway between what he had seen on the real frontier and what he had known as a kid in Earth's slums.	false	133.52	146.77	21.862192
8131_117029_000009_000000	They had been lucky.	They had been lucky.	true	148.85	150.31	27.599644
8131_117029_000009_000001	The dome had exploded outwards, with only bits of it falling back; and the buildings had come through the outward explosion of the pressure with little damage.	The dome had exploded outwards, with only bits of it falling back; and the buildings had come through the outward explosion of the pressure with little damage.	true	150.35	159.49	24.12043
8131_117029_000009_000002	Gordon grinned wryly. Schulberg's volunteers were official, now.	Gordon grinned wryly. Schulberg's volunteers were official, now.	true	160.4	165.22	18.090595
8131_117029_000009_000003	Izzy was acting as chief of police, Schulberg was head of the reconstruction corps, and Mother Corey was temporary Mayor of all Marsport.	Izzy was acting as chief of police, Schulberg was head of the reconstruction corps, and Mother Corey was temporary Mayor of all Marsport.	false	165.5	176.08	23.295631
