3764_168671_000002_000000	CHAPTER V--IT IS NOT NECESSARY TO BE DRUNK IN ORDER TO BE IMMORTAL	CHAPTER five-IT IS NOT NECESSARY TO BE DRUNK IN ORDER TO BE IMMORTAL
3764_168671_000003_000001	This hearse contained a coffin covered with a white cloth over which spread a large black cross, like a huge corpse with drooping arms.	This hearse contained a coffin covered with a white cloth over which spread a large black cross, like a huge corpse with drooping arms.
3764_168671_000003_000002	A mourning-coach, in which could be seen a priest in his surplice, and a choir boy in his red cap, followed.	A mourning coach, in which could be seen a priest in his surplice, and a choir boy in his red cap, followed.
3764_168671_000003_000004	Behind it came an old man in the garments of a laborer, who limped along.	Behind it came an old man in the garments of a laborer, who limped along.
3764_168671_000003_000005	The procession was going in the direction of the Vaugirard cemetery.	The procession was going in the direction of the Vaugirard cemetery.
3764_168671_000004_000000	The handle of a hammer, the blade of a cold chisel, and the antennae of a pair of pincers were visible, protruding from the man's pocket.	The handle of a hammer, the blade of a cold chisel, and the antennae of a pair of pincers were visible, protruding from the man's pocket.
3764_168671_000005_000000	The Vaugirard cemetery formed an exception among the cemeteries of Paris.	The Vaugirard cemetery formed an exception among the cemeteries of Paris.
3764_168671_000005_000002	The grave-diggers being thus bound to service in the evening in summer and at night in winter, in this cemetery, they were subjected to a special discipline.	The grave diggers being thus bound to service in the evening in summer and at night in winter, in this cemetery, they were subjected to a special discipline.
3764_168671_000005_000003	The gates of the Paris cemeteries closed, at that epoch, at sundown, and this being a municipal regulation, the Vaugirard cemetery was bound by it like the rest.	The gates of the Paris cemeteries closed, at that epoch, at sundown, and this being a municipal regulation, the Vaugirard cemetery was bound by it like the rest.
3764_168671_000005_000006	If any grave-digger were delayed after that moment in the cemetery, there was but one way for him to get out--his grave-digger's card furnished by the department of public funerals.	If any grave digger were delayed after that moment in the cemetery, there was but one way for him to get out-his grave digger's card furnished by the department of public funerals.
3764_168671_000005_000007	A sort of letter-box was constructed in the porter's window. The grave-digger dropped his card into this box, the porter heard it fall, pulled the rope, and the small door opened.	A sort of letter box was constructed in the porter's window. The grave digger dropped his card into this box, the porter heard it fall, pulled the rope, and the small door opened.
3764_168671_000005_000008	If the man had not his card, he mentioned his name, the porter, who was sometimes in bed and asleep, rose, came out and identified the man, and opened the gate with his key; the grave-digger stepped out, but had to pay a fine of fifteen francs.	If the man had not his card, he mentioned his name, the porter, who was sometimes in bed and asleep, rose, came out and identified the man, and opened the gate with his key; the grave digger stepped out, but had to pay a fine of fifteen francs.
3764_168671_000006_000000	This cemetery, with its peculiarities outside the regulations, embarrassed the symmetry of the administration.	This cemetery, with its peculiarities outside the regulations, embarrassed the symmetry of the administration.
3764_168671_000006_000001	It was suppressed a little later than 1830.	It was suppressed a little later than eighteen thirty.
3764_168671_000007_000000	The Vaugirard cemetery was what may be called a faded cemetery.	The Vaugirard cemetery was what may be called a faded cemetery.
3764_168671_000007_000002	Dampness was invading it, the flowers were deserting it.	Dampness was invading it, the flowers were deserting it.
3764_168671_000007_000003	The bourgeois did not care much about being buried in the Vaugirard; it hinted at poverty.	The bourgeois did not care much about being buried in the Vaugirard; it hinted at poverty.
3764_168671_000007_000005	The Vaugirard cemetery was a venerable enclosure, planted like an old-fashioned French garden.	The Vaugirard cemetery was a venerable enclosure, planted like an old-fashioned French garden.
3764_168671_000007_000006	Straight alleys, box, thuya-trees, holly, ancient tombs beneath aged cypress-trees, and very tall grass.	Straight alleys, box, thuya trees, holly, ancient tombs beneath aged cypress trees, and very tall grass.
3764_168671_000007_000007	In the evening it was tragic there.	In the evening it was tragic there.
3764_168671_000008_000000	The sun had not yet set when the hearse with the white pall and the black cross entered the avenue of the Vaugirard cemetery.	The sun had not yet set when the hearse with the white pall and the black cross entered the avenue of the Vaugirard cemetery.
3764_168671_000008_000001	The lame man who followed it was no other than Fauchelevent.	The lame man who followed it was no other than Fauchelevent.
3764_168671_000010_000000	Let us remark in passing, that the burial of Mother Crucifixion under the altar of the convent is a perfectly venial offence in our sight.	Let us remark in passing, that the burial of Mother Crucifixion under the altar of the convent is a perfectly venial offence in our sight.
3764_168671_000010_000001	It is one of the faults which resemble a duty.	It is one of the faults which resemble a duty.
3764_168671_000010_000002	The nuns had committed it, not only without difficulty, but even with the applause of their own consciences.	The nuns had committed it, not only without difficulty, but even with the applause of their own consciences.
3764_168671_000010_000003	In the cloister, what is called the "government" is only an intermeddling with authority, an interference which is always questionable.	In the cloister, what is called the "government" is only an intermeddling with authority, an interference which is always questionable.
3764_168671_000010_000004	In the first place, the rule; as for the code, we shall see.	In the first place, the rule; as for the code, we shall see.
3764_168671_000010_000005	Make as many laws as you please, men; but keep them for yourselves. The tribute to Caesar is never anything but the remnants of the tribute to God.	Make as many laws as you please, men; but keep them for yourselves. The tribute to Caesar is never anything but the remnants of the tribute to God.
3764_168671_000012_000000	What remained to be done was a mere nothing.	What remained to be done was a mere nothing.
3764_168671_000012_000001	Within the last two years, he had made good Father Mestienne, a chubby-cheeked person, drunk at least ten times.	Within the last two years, he had made good Father Mestienne, a chubby cheeked person, drunk at least ten times.
3764_168671_000012_000002	He played with Father Mestienne.	He played with Father Mestienne.
3764_168671_000012_000003	He did what he liked with him.	He did what he liked with him.
3764_168671_000012_000004	He made him dance according to his whim.	He made him dance according to his whim.
3764_168671_000012_000005	Mestienne's head adjusted itself to the cap of Fauchelevent's will.	Mestienne's head adjusted itself to the cap of Fauchelevent's will.
3764_168671_000012_000006	Fauchelevent's confidence was perfect.	Fauchelevent's confidence was perfect.
3764_168671_000013_000000	At the moment when the convoy entered the avenue leading to the cemetery, Fauchelevent glanced cheerfully at the hearse, and said half aloud, as he rubbed his big hands:--	At the moment when the convoy entered the avenue leading to the cemetery, Fauchelevent glanced cheerfully at the hearse, and said half aloud, as he rubbed his big hands:--
3764_168671_000014_000000	"Here's a fine farce!"	"Here's a fine farce!"
3764_168671_000015_000000	All at once the hearse halted; it had reached the gate.	All at once the hearse halted; it had reached the gate.
3764_168671_000015_000001	The permission for interment must be exhibited.	The permission for interment must be exhibited.
3764_168671_000015_000002	The undertaker's man addressed himself to the porter of the cemetery.	The undertaker's man addressed himself to the porter of the cemetery.
3764_168671_000015_000003	During this colloquy, which always is productive of a delay of from one to two minutes, some one, a stranger, came and placed himself behind the hearse, beside Fauchelevent.	During this colloquy, which always is productive of a delay of from one to two minutes, some one, a stranger, came and placed himself behind the hearse, beside Fauchelevent.
3764_168671_000015_000004	He was a sort of laboring man, who wore a waistcoat with large pockets and carried a mattock under his arm.	He was a sort of laboring man, who wore a waistcoat with large pockets and carried a mattock under his arm.
3764_168671_000018_000000	"The man replied:--	"The man replied:--
3764_168671_000019_000000	"The grave-digger."	"The grave digger."
3764_168671_000020_000000	If a man could survive the blow of a cannon-ball full in the breast, he would make the same face that Fauchelevent made.	If a man could survive the blow of a cannon ball full in the breast, he would make the same face that Fauchelevent made.
3764_168671_000021_000000	"The grave-digger?"	"The grave digger?"
3764_168671_000022_000000	"Yes."	"Yes."
3764_168671_000023_000000	"You?"	"You?"
3764_168671_000024_000000	"I."	"I."
3764_168671_000025_000000	"Father Mestienne is the grave-digger."	"Father Mestienne is the grave digger."
3764_168671_000026_000000	"He was."	"He was."
3764_168671_000027_000000	"What!	"What!
3764_168671_000027_000001	He was?"	He was?"
3764_168671_000028_000000	"He is dead."	"He is dead."
3764_168671_000029_000001	It is true, nevertheless, that grave-diggers do die themselves.	It is true, nevertheless, that grave diggers do die themselves.
3764_168671_000029_000002	By dint of excavating graves for other people, one hollows out one's own.	By dint of excavating graves for other people, one hollows out one's own.
3764_168671_000030_000001	He had hardly the strength to stammer:--	He had hardly the strength to stammer:--
3764_168671_000032_000000	"It is so."	"It is so."
3764_168671_000033_000000	"But," he persisted feebly, "Father Mestienne is the grave-digger."	"But," he persisted feebly, "Father Mestienne is the grave digger."
3764_168671_000034_000000	"After Napoleon, Louis XVIII.	"After Napoleon, Louis the eighteenth.
3764_168671_000034_000001	After Mestienne, Gribier.	After Mestienne, Gribier.
3764_168671_000034_000002	Peasant, my name is Gribier."	Peasant, my name is Gribier."
3764_168671_000036_000000	He was a tall, thin, livid, utterly funereal man.	He was a tall, thin, livid, utterly funereal man.
3764_168671_000036_000001	He had the air of an unsuccessful doctor who had turned grave-digger.	He had the air of an unsuccessful doctor who had turned grave digger.
3764_168671_000037_000000	Fauchelevent burst out laughing.	Fauchelevent burst out laughing.
3764_168671_000038_000000	"Ah!" said he, "what queer things do happen!	"Ah!" said he, "what queer things do happen!
3764_168671_000038_000001	Father Mestienne is dead, but long live little Father Lenoir!	Father Mestienne is dead, but long live little Father Lenoir!
3764_168671_000038_000002	Do you know who little Father Lenoir is?	Do you know who little Father Lenoir is?
3764_168671_000038_000003	He is a jug of red wine.	He is a jug of red wine.
3764_168671_000038_000005	Ah!	Ah!
3764_168671_000038_000007	I am sorry for it; he was a jolly fellow.	I am sorry for it; he was a jolly fellow.
3764_168671_000038_000008	But you are a jolly fellow, too.	But you are a jolly fellow, too.
3764_168671_000039_000000	The man replied:--	The man replied:--
3764_168671_000040_000000	"I have been a student.	"I have been a student.
3764_168671_000040_000001	I passed my fourth examination.	I passed my fourth examination.
3764_168671_000040_000002	I never drink."	I never drink."
3764_168671_000041_000000	The hearse had set out again, and was rolling up the grand alley of the cemetery.	The hearse had set out again, and was rolling up the grand alley of the cemetery.
3764_168671_000042_000000	Fauchelevent had slackened his pace.	Fauchelevent had slackened his pace.
3764_168671_000042_000001	He limped more out of anxiety than from infirmity.	He limped more out of anxiety than from infirmity.
3764_168671_000043_000000	The grave-digger walked on in front of him.	The grave digger walked on in front of him.
3764_168671_000045_000000	He was one of those men who, though very young, have the air of age, and who, though slender, are extremely strong.	He was one of those men who, though very young, have the air of age, and who, though slender, are extremely strong.
3764_168671_000046_000000	"Comrade!" cried Fauchelevent.	"Comrade!" cried Fauchelevent.
3764_168671_000047_000000	The man turned round.	The man turned round.
3764_168671_000048_000000	"I am the convent grave-digger."	"I am the convent grave digger."
3764_168671_000050_000001	He muttered:	He muttered:
3764_168671_000052_000000	The man replied:--	The man replied:--
3764_168671_000053_000000	"Completely.	"Completely.
3764_168671_000053_000001	The good God consulted his note-book which shows when the time is up.	The good God consulted his note book which shows when the time is up.
3764_168671_000053_000002	It was Father Mestienne's turn.	It was Father Mestienne's turn.
3764_168671_000053_000003	Father Mestienne died."	Father Mestienne died."
3764_168671_000055_000000	"The good God," said the man authoritatively.	"The good God," said the man authoritatively.
3764_168671_000055_000001	"According to the philosophers, the Eternal Father; according to the Jacobins, the Supreme Being."	"According to the philosophers, the Eternal Father; according to the Jacobins, the Supreme Being."
