3764_168671_000000_000000	"That is settled, Father Fauchelevent.	"That is settled, Father Fauchelevent.	false	2.85	5.19	23.299059
3764_168671_000000_000001	All will go well."	All will go well."	false	5.19	9.78	24.71401
3764_168671_000001_000000	"Provided nothing goes wrong," thought Fauchelevent.	"Provided nothing goes wrong," thought Fauchelevent.	false	9.78	13.365	23.541994
3764_168671_000001_000001	"In that case, it would be terrible."	"In that case, it would be terrible."	false	13.365	35.52	22.543764
3764_168671_000002_000000	CHAPTER V--IT IS NOT NECESSARY TO BE DRUNK IN ORDER TO BE IMMORTAL	CHAPTER five-IT IS NOT NECESSARY TO BE DRUNK IN ORDER TO BE IMMORTAL	true	35.52	41.23	22.789782
3764_168671_000003_000000	On the following day, as the sun was declining, the very rare passers-by on the Boulevard du Maine pulled off their hats to an old-fashioned hearse, ornamented with skulls, cross-bones, and tears.	On the following day, as the sun was declining, the very rare passers by on the Boulevard du Maine pulled off their hats to an old-fashioned hearse, ornamented with skulls, cross bones, and tears.	false	43.73	57.22	22.538694
3764_168671_000003_000001	This hearse contained a coffin covered with a white cloth over which spread a large black cross, like a huge corpse with drooping arms.	This hearse contained a coffin covered with a white cloth over which spread a large black cross, like a huge corpse with drooping arms.	true	57.95	67.45	24.189781
3764_168671_000003_000002	A mourning-coach, in which could be seen a priest in his surplice, and a choir boy in his red cap, followed.	A mourning coach, in which could be seen a priest in his surplice, and a choir boy in his red cap, followed.	true	68.3	75.85	22.267054
3764_168671_000003_000003	Two undertaker's men in gray uniforms trimmed with black walked on the right and the left of the hearse.	Two undertaker's men in gray uniforms trimmed with black walked on the right and the left of the hearse.	false	76.07	82.96	22.551666
3764_168671_000003_000004	Behind it came an old man in the garments of a laborer, who limped along.	Behind it came an old man in the garments of a laborer, who limped along.	true	83.66	88.9	21.465782
3764_168671_000003_000005	The procession was going in the direction of the Vaugirard cemetery.	The procession was going in the direction of the Vaugirard cemetery.	true	89.6	93.49	19
3764_168671_000004_000000	The handle of a hammer, the blade of a cold chisel, and the antennae of a pair of pincers were visible, protruding from the man's pocket.	The handle of a hammer, the blade of a cold chisel, and the antennae of a pair of pincers were visible, protruding from the man's pocket.	true	94.55	103.57	22.664576
3764_168671_000005_000000	The Vaugirard cemetery formed an exception among the cemeteries of Paris.	The Vaugirard cemetery formed an exception among the cemeteries of Paris.	true	105.05	109.63	22.923153
3764_168671_000005_000001	It had its peculiar usages, just as it had its carriage entrance and its house door, which old people in the quarter, who clung tenaciously to ancient words, still called the porte cavaliere and the porte pietonne.[16] The Bernardines-Benedictines of the Rue Petit-Picpus had obtained permission, as we have already stated, to be buried there in a corner apart, and at night, the plot of land having formerly belonged to their community.	It had its peculiar usages, just as it had its carriage entrance and its house door, which old people in the quarter, who clung tenaciously to ancient words, still called the porte cavaliere and the porte pietonne.[sixteen] The Bernardines Benedictines of the Rue Petit Picpus had obtained permission, as we have already stated, to be buried there in a corner apart, and at night, the plot of land having formerly belonged to their community.	false	110.18	138.19	22.531776
3764_168671_000005_000002	The grave-diggers being thus bound to service in the evening in summer and at night in winter, in this cemetery, they were subjected to a special discipline.	The grave diggers being thus bound to service in the evening in summer and at night in winter, in this cemetery, they were subjected to a special discipline.	true	139.31	148.12	22.112535
