4198_61336_000000_000000	Tiglath-pileser IV, who deposed Ashur-nirari IV, was known to the Babylonians as Pulu, which, some think, was a term of contempt signifying "wild animal".	Tiglath pileser i v, who deposed Ashur nirari i v, was known to the Babylonians as Pulu, which, some think, was a term of contempt signifying "wild animal".	false	49.41	102.37	21.021053
4198_61336_000000_000001	In the Bible he is referred to as Pul, Tiglath-pilneser, and Tiglath-pileser.[503] He came to the Assyrian throne towards the end of April in 745 B.C. and reigned until 727 B.C. We know nothing regarding his origin, but it seems clear that he was not of royal descent.	In the Bible he is referred to as p u l, Tiglath pilneser, and Tiglath pileser.[five hundred three] He came to the Assyrian throne towards the end of April in seven forty five b c and reigned until seven twenty seven b c We know nothing regarding his origin, but it seems clear that he was not of royal descent.	false	103.04	128.02	20.535301
4198_61336_000000_000002	He appears to have been a popular leader of the revolt against Ashur-nirari, who, like certain of his predecessors, had pronounced pro-Babylonian tendencies.	He appears to have been a popular leader of the revolt against Ashur nirari, who, like certain of his predecessors, had pronounced pro Babylonian tendencies.	true	128.54	139.87	19.616817
4198_61336_000000_000003	It is significant to note in this connection that the new king was an unswerving adherent of the cult of Ashur, by the adherents of which he was probably strongly supported.	It is significant to note in this connection that the new king was an unswerving adherent of the cult of Ashur, by the adherents of which he was probably strongly supported.	true	140.75	153.97	21.87345
4198_61336_000001_000000	Tiglath-pileser combined in equal measure those qualities of generalship and statesmanship which were necessary for the reorganization of the Assyrian state and the revival of its military prestige.	Tiglath pileser combined in equal measure those qualities of generalship and statesmanship which were necessary for the reorganization of the Assyrian state and the revival of its military prestige.	true	155.48	171.16	21.959927
4198_61336_000001_000001	At the beginning of his reign there was much social discontent and suffering.	At the beginning of his reign there was much social discontent and suffering.	true	172.22	177.4	21.152782
4198_61336_000001_000002	The national exchequer had been exhausted by the loss of tribute from revolting provinces, trade was paralysed, and the industries were in a languishing condition.	The national exchequer had been exhausted by the loss of tribute from revolting provinces, trade was paralysed, and the industries were in a languishing condition.	true	179.12	191.29	20.58645
4198_61336_000001_000003	Plundering bands of Aramaeans were menacing the western frontiers and had overrun part of northern Babylonia.	Plundering bands of Aramaeans were menacing the western frontiers and had overrun part of northern Babylonia.	true	191.99	199	14
4198_61336_000001_000004	New political confederacies in Syria kept the north-west regions in a constant state of unrest, and the now powerful Urartian kingdom was threatening the Syro-Cappadocian states as if its rulers had dreams of building up a great world empire on the ruins of that of Assyria.	New political confederacies in Syria kept the north-west regions in a constant state of unrest, and the now powerful Urartian kingdom was threatening the Syro Cappadocian states as if its rulers had dreams of building up a great world empire on the ruins of that of Assyria.	false	199.76	220.36	21.962885
4198_61336_000002_000000	Tiglath-pileser first paid attention to Babylonia, and extinguished the resistance of the Aramaeans in Akkad.	Tiglath pileser first paid attention to Babylonia, and extinguished the resistance of the Aramaeans in Akkad.	false	221.96	230.85	21.056362
