6432_63722_000000_000000	"That's all right, Shag.	"That's all right, Shag.
6432_63722_000000_000001	You do as I tell you.	You do as I tell you.
6432_63722_000000_000003	But for a quiet place to think, give me a fishing excursion every time!	But for a quiet place to think, give me a fishing excursion every time!
6432_63722_000000_000004	And I've got to do some tall thinking now.	And I've got to do some tall thinking now.
6432_63722_000000_000005	Get ready, Shag!"	Get ready, Shag!"
6432_63722_000003_000000	Carroll and Thong were there, and if they did not exactly welcome the colonel as a kindred spirit they at least accorded him the respect due a fellow craftsman in the peculiar line where talent may be found most unexpectedly.	Carroll and Thong were there, and if they did not exactly welcome the colonel as a kindred spirit they at least accorded him the respect due a fellow craftsman in the peculiar line where talent may be found most unexpectedly.
6432_63722_000003_000002	For they recognized that the colonel would be against them and the prosecutor's detectives when it came to the trial of James Darcy.	For they recognized that the colonel would be against them and the prosecutor's detectives when it came to the trial of james Darcy.
6432_63722_000005_000000	"Some Dago had his head busted in," remarked Thong.	"Some Dago had his head busted in," remarked Thong.
6432_63722_000005_000001	"It isn't our case, so we don't know much about it."	"It isn't our case, so we don't know much about it."
6432_63722_000006_000001	Who has it?"	Who has it?"
6432_63722_000007_000000	"Pinkus and Donovan; haven't they, Carroll?"	"Pinkus and Donovan; haven't they, Carroll?"
6432_63722_000008_000000	"Yep." Carroll was too much engaged in watching the blue smoke curl lazily upward from his cigar just then to say more.	"Yep." Carroll was too much engaged in watching the blue smoke curl lazily upward from his cigar just then to say more.
6432_63722_000010_000000	"If they're here, yes."	"If they're here, yes."
6432_63722_000011_000001	"Are you going to work on that case, Colonel?"	"Are you going to work on that case, Colonel?"
6432_63722_000012_000000	"Oh, no. I was just interested, as Singa Phut was one concerned in Mrs. Darcy's murder."	"Oh, no I was just interested, as Singa Phut was one concerned in mrs Darcy's murder."
6432_63722_000014_000000	"Perhaps not," admitted Colonel Ashley.	"Perhaps not," admitted Colonel Ashley.
6432_63722_000014_000001	"But there are some peculiar coincidences and, if you don't mind, I'd like to see what I can find out about them."	"But there are some peculiar coincidences and, if you don't mind, I'd like to see what I can find out about them."
6432_63722_000015_000000	"Go as far as you like, Colonel," returned Thong, needlessly generous. "We've got our man, and that's all we want.	"Go as far as you like, Colonel," returned Thong, needlessly generous. "We've got our man, and that's all we want.
6432_63722_000015_000002	"Here's some one to see you," and the presentation was quickly and informally made.	"Here's some one to see you," and the presentation was quickly and informally made.
6432_63722_000015_000003	The two men had seen each other before, but had not spoken.	The two men had seen each other before, but had not spoken.
6432_63722_000016_000000	"Glad to know you, Colonel Ashley," said Donovan.	"Glad to know you, Colonel Ashley," said Donovan.
6432_63722_000016_000001	"I've read a lot about you.	"I've read a lot about you.
6432_63722_000016_000002	You're on the Darcy case, they tell me."	You're on the Darcy case, they tell me."
6432_63722_000017_000000	"In a way, yes.	"In a way, yes.
6432_63722_000017_000001	I'm working in the interests of the young man.	I'm working in the interests of the young man.
6432_63722_000017_000002	But I hear you have another murder."	But I hear you have another murder."
6432_63722_000018_000000	"Yes, but it's so plain there's no interest in it for you.	"Yes, but it's so plain there's no interest in it for you.
6432_63722_000018_000001	All we want to do--Pinkus and me--is to lay our hands on the Dago that done it and got away.	All we want to do-Pinkus and me-is to lay our hands on the Dago that done it and got away.
6432_63722_000018_000002	We'll get him, too, before many days.	We'll get him, too, before many days.
6432_63722_000019_000000	"How did it happen?	"How did it happen?
6432_63722_000019_000001	And is there any truth in the newspaper story about the same watch that was found in Mrs. Darcy's hand being found in the hand of the dead man?"	And is there any truth in the newspaper story about the same watch that was found in mrs Darcy's hand being found in the hand of the dead man?"
6432_63722_000020_000000	"Yes, that part's true enough, but that's all there is to it.	"Yes, that part's true enough, but that's all there is to it.
6432_63722_000020_000001	It's just one of them coincidences like.	It's just one of them coincidences like.
6432_63722_000020_000002	Singa Phut got back his watch after the prosecutor decided he didn't need it for evidence.	Singa Phut got back his watch after the prosecutor decided he didn't need it for evidence.
6432_63722_000020_000003	There wasn't nothing that Singa had to do with the Darcy case anyhow, and he seemed awful anxious to get back that watch.	There wasn't nothing that Singa had to do with the Darcy case anyhow, and he seemed awful anxious to get back that watch.
6432_63722_000021_000000	"But did he really kill his partner?"	"But did he really kill his partner?"
6432_63722_000022_000000	"Surest thing you know.	"Surest thing you know.
6432_63722_000022_000001	Busted his head in with a heavy candlestick--one of a pair.	Busted his head in with a heavy candlestick-one of a pair.
6432_63722_000024_000000	"Gad!" exclaimed the colonel.	"Gad!" exclaimed the colonel.
6432_63722_000024_000001	"The very pair I was going to buy!"	"The very pair I was going to buy!"
6432_63722_000025_000000	"What!	"What!
