3005_163399_000002_000000	Phelps' was one of these little one-horse cotton plantations, and they all look alike.	Phelps' was one of these little one horse cotton plantations, and they all look alike.
3005_163399_000004_000000	I went right along, not fixing up any particular plan, but just trusting to Providence to put the right words in my mouth when the time come; for I'd noticed that Providence always did put the right words in my mouth if I left it alone.	I went right along, not fixing up any particular plan, but just trusting to Providence to put the right words in my mouth when the time come; for I'd noticed that Providence always did put the right words in my mouth if I left it alone.
3005_163399_000005_000000	When I got half-way, first one hound and then another got up and went for me, and of course I stopped and faced them, and kept still.	When I got half-way, first one hound and then another got up and went for me, and of course I stopped and faced them, and kept still.
3005_163399_000005_000001	And such another powwow as they made!	And such another powwow as they made!
3005_163399_000006_000001	There ain't no harm in a hound, nohow.	There ain't no harm in a hound, nohow.
3005_163399_000007_000000	And behind the woman comes a little nigger girl and two little nigger boys without anything on but tow-linen shirts, and they hung on to their mother's gown, and peeped out from behind her at me, bashful, the way they always do.	And behind the woman comes a little nigger girl and two little nigger boys without anything on but tow linen shirts, and they hung on to their mother's gown, and peeped out from behind her at me, bashful, the way they always do.
3005_163399_000007_000002	She was smiling all over so she could hardly standand says:	She was smiling all over so she could hardly stand  and says:
3005_163399_000010_000000	She grabbed me and hugged me tight; and then gripped me by both hands and shook and shook; and the tears come in her eyes, and run down over; and she couldn't seem to hug and shake enough, and kept saying, "You don't look as much like your mother as I reckoned you would; but law sakes, I don't care for that, I'm so glad to see you!	She grabbed me and hugged me tight; and then gripped me by both hands and shook and shook; and the tears come in her eyes, and run down over; and she couldn't seem to hug and shake enough, and kept saying, "You don't look as much like your mother as I reckoned you would; but law sakes, I don't care for that, I'm so glad to see you!
3005_163399_000010_000002	Children, it's your cousin Tom!tell him howdy."	Children, it's your cousin Tom!  tell him howdy."
3005_163399_000011_000000	But they ducked their heads, and put their fingers in their mouths, and hid behind her.	But they ducked their heads, and put their fingers in their mouths, and hid behind her.
3005_163399_000011_000001	So she run on:	So she run on:
3005_163399_000012_000000	"Lize, hurry up and get him a hot breakfast right awayor did you get your breakfast on the boat?"	"Lize, hurry up and get him a hot breakfast right away  or did you get your breakfast on the boat?"
3005_163399_000013_000000	I said I had got it on the boat.	I said I had got it on the boat.
3005_163399_000013_000001	So then she started for the house, leading me by the hand, and the children tagging after.	So then she started for the house, leading me by the hand, and the children tagging after.
3005_163399_000013_000002	When we got there she set me down in a split-bottomed chair, and set herself down on a little low stool in front of me, holding both of my hands, and says:	When we got there she set me down in a split bottomed chair, and set herself down on a little low stool in front of me, holding both of my hands, and says:
3005_163399_000014_000001	We been expecting you a couple of days and more.	We been expecting you a couple of days and more.
3005_163399_000015_000000	"Yes'mshe"	"Yes'm  she  "
