7902_96595_000000_000000	"Runned away."	"Runned away."	true	36.105	36.9	27.323864
7902_96595_000001_000000	"Ay," said another, "that's it.	"Ay," said another, "that's it.	false	36.9	38.715	23.847342
7902_96595_000001_000001	You won't see him again."	You won't see him again."	true	38.715	39.91	23.414907
7902_96595_000002_000000	"Won't I?" muttered Gurr between his teeth.	"Won't I?" muttered Gurr between his teeth.	true	40.34	42.57	21.95404
7902_96595_000002_000001	"I'll let some of you see about that, my fine fellows."	"I'll let some of you see about that, my fine fellows."	true	42.57	45.01	21.444176
7902_96595_000003_000000	He led his men on, stopping at each cluster of cottages and shabby little farm to ask suspiciously, as if he felt certain the person he questioned was hiding the truth.	He led his men on, stopping at each cluster of cottages and shabby little farm to ask suspiciously, as if he felt certain the person he questioned was hiding the truth.	true	45.71	53.38	20.726393
7902_96595_000004_000000	But he always came out again to his men with an anxious look in his eyes, and generally ranged up alongside of Dick.	But he always came out again to his men with an anxious look in his eyes, and generally ranged up alongside of Dick.	true	54.02	58.84	21.102531
7902_96595_000005_000000	"No, my lad," he would say, "they haven't seen 'im there;" and then with his head bent down, but his eyes eagerly searching the road from side to side, he went on towards Shackle's farm.	"No, my lad," he would say, "they haven't seen 'im there;" and then with his head bent down, but his eyes eagerly searching the road from side to side, he went on towards Shackle's farm.	false	59.45	68.62	21.162954
7902_96595_000006_000000	"Say, Mester Gurr," said Dick, after one of these searches, "he wouldn't run away?"	"Say, Mester Gurr," said Dick, after one of these searches, "he wouldn't run away?"	false	69.32	73.39	20.743109
7902_96595_000007_000000	"What!	"What!	true	73.7	74.28	26.175539
7902_96595_000007_000001	Mr Raystoke, sir?	Mr Raystoke, sir?	true	74.28	75.64	26.592373
7902_96595_000007_000002	Don't be a fool."	Don't be a fool."	true	75.71	76.9	25.308876
7902_96595_000008_000000	"No, sir," replied Dick humbly, and the men tramped on with a couple of open-mouthed, barefooted boys following them to stare at their cutlasses and pistols.	"No, sir," replied Dick humbly, and the men tramped on with a couple of open mouthed, barefooted boys following them to stare at their cutlasses and pistols.	true	77.24	84.61	21.514164
7902_96595_000009_000000	"Say, Mester Gurr," ventured Dick, after a pause, "none of 'em wouldn't ha' done that, would they?"	"Say, Mester Gurr," ventured Dick, after a pause, "none of 'em wouldn't ha' done that, would they?"	false	85.49	90.28	22.031187
7902_96595_000010_000000	Dick had followed the master's look, as he shaded his eyes and stared over the green slope which led up to the cliffs.	Dick had followed the master's look, as he shaded his eyes and stared over the green slope which led up to the cliffs.	false	91.25	96.1	20.864712
7902_96595_000011_000000	"What?"	"What?"	true	96.35	96.97	24.026299
7902_96595_000012_000000	"Chucked him off yonder."	"Chucked him off yonder."	true	97.34	98.65	22.709623
7902_96595_000013_000000	Gurr glanced round to see if the men were looking, and then said rather huskily but kindly,--	Gurr glanced round to see if the men were looking, and then said rather huskily but kindly,--	true	99.08	103	22.620699
7902_96595_000014_000000	"In ord'nary, Dick, my lad, no; but when smugglers finds themselves up in corners where they can't get away, they turns and fights like rats, and when they fights they bites."	"In ord'nary, Dick, my lad, no; but when smugglers finds themselves up in corners where they can't get away, they turns and fights like rats, and when they fights they bites."	true	103.49	111.73	21.570578
7902_96595_000015_000000	"Ah!" ejaculated Dick sadly.	"Ah!" ejaculated Dick sadly.	true	112.13	114.07	22.883501
7902_96595_000016_000000	"You're only a common sailor, Dick, and I'm your officer, but though I speak sharp unto you, I respect you, Dick, for you like that lad."	"You're only a common sailor, Dick, and I'm your officer, but though I speak sharp unto you, I respect you, Dick, for you like that lad."	true	114.59	121.18	23.337921
7902_96595_000017_000000	"Say, Mester Gurr, sir, which thankful I am to you for speaking so; but you don't really think as he has come to harm?"	"Say, Mester Gurr, sir, which thankful I am to you for speaking so; but you don't really think as he has come to harm?"	false	121.61	127.51	25.11387
7902_96595_000018_000000	"I hope not, Dick; I hope not; but smugglers don't stand at anything sometimes."	"I hope not, Dick; I hope not; but smugglers don't stand at anything sometimes."	false	127.88	131.91	24.854103
7902_96595_000019_000000	Dick sighed, and then all at once he spat in his fist, rubbed his hands together and clenched them, a hard, fierce aspect coming into his rough dark face, which seemed to promise severe retaliation if anything had happened to the young officer.	Dick sighed, and then all at once he spat in his fist, rubbed his hands together and clenched them, a hard, fierce aspect coming into his rough dark face, which seemed to promise severe retaliation if anything had happened to the young officer.	true	131.91	143.05	22.291039
7902_96595_000020_000000	There was nowhere else to search as far as Gurr could see, save the little farm in the hollow, and the black-looking stone house up on the hill among the trees.	There was nowhere else to search as far as Gurr could see, save the little farm in the hollow, and the black looking stone house up on the hill among the trees.	true	144.08	150.73	20
7902_96595_000021_000000	Gurr, who looked wonderfully bull-dog like in aspect, made straight for the farm, where the first person he encountered was Mrs Shackle, who, innocent enough, poor woman, came to the door to bob a curtsey to the king's men, while Jemmy Dadd, who was slowly loading a tumbril in whose shafts was the sleepy grey horse, stuck his fork down into the heap of manure from the cow-sheds, rested his hands on the top and his chin upon his hands, to stare and grin at the sailors he recognised.	Gurr, who looked wonderfully bull dog like in aspect, made straight for the farm, where the first person he encountered was Mrs Shackle, who, innocent enough, poor woman, came to the door to bob a curtsey to the king's men, while Jemmy Dadd, who was slowly loading a tumbril in whose shafts was the sleepy grey horse, stuck his fork down into the heap of manure from the cow sheds, rested his hands on the top and his chin upon his hands, to stare and grin at the sailors he recognised.	true	151.73	174.55	22.043041
7902_96595_000022_000000	"Morning, marm," said Gurr; "sorry to trouble you, but--"	"Morning, marm," said Gurr; "sorry to trouble you, but-"	true	175.13	177.54	21.803411
7902_96595_000023_000000	"Oh, sir," interrupted Mrs Shackle, "surely you are not going to tumble over my house again!	"Oh, sir," interrupted Mrs Shackle, "surely you are not going to tumble over my house again!	true	177.54	181.87	22.533432
7902_96595_000023_000001	I do assure you there's nothing here but what you may see."	I do assure you there's nothing here but what you may see."	true	181.94	184.5	22.386108
7902_96595_000024_000000	"If you'd let me finish, you'd know," said Gurr gruffly.	"If you'd let me finish, you'd know," said Gurr gruffly.	true	184.5	186.735	19.76207
7902_96595_000024_000001	"One of our boys is missing.	"One of our boys is missing.	true	186.735	187.99	22.560354
7902_96595_000024_000002	Seen him up here?	Seen him up here?	true	188.12	189.19	23.249243
7902_96595_000024_000003	Boy 'bout seventeen with a red cap."	Boy 'bout seventeen with a red cap."	true	189.35	191.505	18.995274
7902_96595_000025_000000	"No, sir; indeed I've not."	"No, sir; indeed I've not."	false	191.505	193	24.50022
7902_96595_000026_000000	"Don't know as he has been seen about here, do you?" said Gurr, looking at her searchingly.	"Don't know as he has been seen about here, do you?" said Gurr, looking at her searchingly.	true	193.61	197.16	19.724169
7902_96595_000027_000000	"No, sir."	"No, sir."	true	197.16	198.04	28.40838
7902_96595_000028_000000	"Haven't heard any one talking about him, eh?	"Haven't heard any one talking about him, eh?	false	198.5	200.37	19
7902_96595_000028_000001	Come ashore yesterday."	Come ashore yesterday."	true	200.37	201.55	23.157354
7902_96595_000029_000000	Mrs Shackle shook her head.	Mrs Shackle shook her head.	true	201.95	203.41	22.792576
7902_96595_000030_000000	"Thank ye!--No, Dick," continued the master, turning back to where the men were waiting, and unconsciously brushing against the bush behind which the middy had hidden himself, "that woman knows nothing.	"Thank ye!--No, Dick," continued the master, turning back to where the men were waiting, and unconsciously brushing against the bush behind which the middy had hidden himself, "that woman knows nothing.	true	203.63	214.3	22.186092
7902_96595_000030_000001	If she knew evil had come to the poor lad, her face would tell tales like print.	If she knew evil had come to the poor lad, her face would tell tales like print.	true	214.46	218.14	22.281351
7902_96595_000030_000002	Hi!	Hi!	true	218.21	218.61	100
7902_96595_000030_000003	You, sir," he said, going towards where Jemmy stood grinning.	You, sir," he said, going towards where Jemmy stood grinning.	true	218.61	221.17	18
7902_96595_000031_000000	"Mornin'," said Jemmy; "come arter some more milk?"	"Mornin'," said Jemmy; "come arter some more milk?"	false	221.39	223.66	23.477915
7902_96595_000032_000000	"No," growled Gurr.	"No," growled Gurr.	false	223.82	225.07	22.607073
7902_96595_000033_000000	"Don't want to take the cow away agen, do 'ee?"	"Don't want to take the cow away agen, do 'ee?"	false	225.47	228.33	21.705667
7902_96595_000034_000000	"Look here, my lad, one of our boys is missing.	"Look here, my lad, one of our boys is missing.	true	228.33	230.16	13
7902_96595_000034_000001	Came ashore yesterday, lad of seventeen in a red cap."	Came ashore yesterday, lad of seventeen in a red cap."	true	230.16	233.31	20.549631
7902_96595_000035_000000	"Oh!" said Jemmy with a vacant look.	"Oh!" said Jemmy with a vacant look.	true	233.31	235.27	24.346222
7902_96595_000035_000001	"Don't mean him as come with you, do you?"	"Don't mean him as come with you, do you?"	false	235.37	237.96	21.394863
7902_96595_000036_000000	"I said a lad 'bout seventeen, in a red cap like yours," said Gurr very shortly.	"I said a lad 'bout seventeen, in a red cap like yours," said Gurr very shortly.	true	237.96	241.95	17
7902_96595_000037_000000	"Aren't seen no lads with no red caps up here," said the man with a vacant look.	"Aren't seen no lads with no red caps up here," said the man with a vacant look.	false	241.95	246.225	19.402447
7902_96595_000037_000001	"Have he runned away?"	"Have he runned away?"	true	246.225	247.27	24.144947
7902_96595_000038_000000	"Are you sure you haven't seen him, my lad?" growled Gurr; "because, look here, it may be a serious thing for some of you, if he is not found."	"Are you sure you haven't seen him, my lad?" growled Gurr; "because, look here, it may be a serious thing for some of you, if he is not found."	false	247.79	253.9	21
7902_96595_000039_000000	The man shook his head, and stared as if he didn't half understand the drift of what was said.	The man shook his head, and stared as if he didn't half understand the drift of what was said.	true	254.66	258.31	21.113527
