8131_117017_000000_000000	Chapter V	Chapter five	false	1.08	14.26	21.833355
8131_117017_000001_000000	RECALL	RECALL	true	14.54	15.88	31.817352
8131_117017_000002_000000	It was night outside, and the phosphor bulbs at the corners glowed dimly, giving him barely enough light by which to locate the way to the extemporized precinct house.	It was night outside, and the phosphor bulbs at the corners glowed dimly, giving him barely enough light by which to locate the way to the extemporized precinct house.	true	17.06	28.75	24.751534
8131_117017_000002_000001	Bruce Gordon reached the outskirts of the miserable business section, noticing that a couple of the shops were still open.	Bruce Gordon reached the outskirts of the miserable business section, noticing that a couple of the shops were still open.	true	29.75	37.3	25.637278
8131_117017_000002_000002	It had probably been years since any had dared risk it after the sun went down.	It had probably been years since any had dared risk it after the sun went down.	true	37.94	43.21	20.709637
8131_117017_000002_000003	And the slow, doubtful respect on the faces of the citizens as they nodded to him was even more proof that Haley's system was working.	And the slow, doubtful respect on the faces of the citizens as they nodded to him was even more proof that Haley's system was working.	true	43.76	53.38	23.37618
8131_117017_000002_000004	Gordon nodded to a couple, and they grinned faintly at him. Damn it, Mars could be cleaned up....	Gordon nodded to a couple, and they grinned faintly at him. Damn it, Mars could be cleaned up....	true	54.17	61.51	23.552094
8131_117017_000003_000000	He grinned at himself, then something needled at his mind, until he swung back.	He grinned at himself, then something needled at his mind, until he swung back.	true	62.54	68.5	21.883503
8131_117017_000003_000001	The man who had just passed was carrying a lunch basket, and was wearing the coveralls of one of the crop-prospector crews; but the expression on his face had been wrong.	The man who had just passed was carrying a lunch basket, and was wearing the coveralls of one of the crop prospector crews; but the expression on his face had been wrong.	false	68.9	80.32	23.13925
8131_117017_000004_000000	Red hair, too heavily built, a lighter section where a mustache had been shaved and the skin not quite perfectly powdered....	Red hair, too heavily built, a lighter section where a mustache had been shaved and the skin not quite perfectly powdered....	false	80.75	89.53	23.709995
8131_117017_000004_000001	Gordon moved forward quickly, until he could make out the thin scar showing through the make-up over the man's eyes.	Gordon moved forward quickly, until he could make out the thin scar showing through the make-up over the man's eyes.	true	90.2	96.85	27.336674
8131_117017_000004_000002	He'd been right--this was O'Neill, head of the Stonewall gang.	He'd been right-this was O'Neill, head of the Stonewall gang.	true	97.28	102.43	20.64103
8131_117017_000005_000000	Gordon hit the signal switch, and the Marspeaker let out a shrill whistle.	Gordon hit the signal switch, and the Marspeaker let out a shrill whistle.	true	103.04	107.53	22.130346
8131_117017_000005_000001	O'Neill had turned to run, and then seemed to think better of it.	O'Neill had turned to run, and then seemed to think better of it.	true	107.87	111.58	21.88502
8131_117017_000005_000002	His hand darted down to his belt, just as Gordon reached him.	His hand darted down to his belt, just as Gordon reached him.	true	112.19	116.77	22.76556
8131_117017_000006_000000	The heavy locust stick met the man's wrist before the weapon was half drawn--another gun!	The heavy locust stick met the man's wrist before the weapon was half drawn-another gun!	true	116.93	123.73	20.918203
8131_117017_000006_000001	Guns suddenly seemed to be flourishing everywhere. The gun dropped from O'Neill's hand as the wrist snapped, and the Stonewall chief let out a high-pitched cry of pain.	Guns suddenly seemed to be flourishing everywhere. The gun dropped from O'Neill's hand as the wrist snapped, and the Stonewall chief let out a high pitched cry of pain.	true	124.25	135.01	23.661312
8131_117017_000006_000002	Then another cop came around a corner at a run.	Then another cop came around a corner at a run.	true	135.92	138.85	20.16233
8131_117017_000007_000000	"You can't do it to me!	"You can't do it to me!	true	139.43	141.045	22.119097
8131_117017_000007_000001	I'm reformed; I'm going straight!	I'm reformed; I'm going straight!	true	141.045	143.77	23.290306
8131_117017_000007_000002	You damned cops can't...." O'Neill was blubbering.	You damned cops can't...." O'Neill was blubbering.	true	143.9	147.85	21.83423
8131_117017_000007_000003	The small crowd that was collecting was all to the good, Gordon knew, and he let O'Neill go on. Nothing could help break up the gangs more than having a leader break down in public.	The small crowd that was collecting was all to the good, Gordon knew, and he let O'Neill go on. Nothing could help break up the gangs more than having a leader break down in public.	false	148.1	160.75	20.071995
8131_117017_000008_000000	The other cop had yanked out O'Neill's wallet, and now tossed it to Gordon.	The other cop had yanked out O'Neill's wallet, and now tossed it to Gordon.	true	161.42	165.97	23.81659
8131_117017_000008_000001	One look was enough--the work papers had the telltale over-thickening of the signature that had showed up on other papers, obviously forgeries.	One look was enough-the work papers had the telltale over thickening of the signature that had showed up on other papers, obviously forgeries.	false	166.52	177.43	24.016619
8131_117017_000008_000002	The cops had been passing them on the hope of finding one of the leaders.	The cops had been passing them on the hope of finding one of the leaders.	true	177.89	181.66	23
8131_117017_000009_000000	Some turned away as Gordon and the other cop went to work, but most of them weren't squeamish.	Some turned away as Gordon and the other cop went to work, but most of them weren't squeamish.	true	182.51	188.44	25.865803
8131_117017_000009_000001	When it was over, the two picked up their whimpering captive.	When it was over, the two picked up their whimpering captive.	true	188.72	192.52	26.222002
8131_117017_000009_000002	Gordon pocketed the revolver with his free hand. "Walk, O'Neill!" he ordered.	Gordon pocketed the revolver with his free hand. "Walk, O'Neill!" he ordered.	true	192.92	198.4	22.14875
8131_117017_000009_000003	"Your legs are still whole.	"Your legs are still whole.	true	198.83	200.58	22.051878
8131_117017_000009_000004	Use them!"	Use them!"	true	200.58	201.73	29.470661
8131_117017_000010_000000	The man staggered between them, whimpering at each step.	The man staggered between them, whimpering at each step.	true	202.16	206.08	24.607069
8131_117017_000010_000001	If any members of the gang were around, they made no attempt to rescue him.	If any members of the gang were around, they made no attempt to rescue him.	true	206.42	211.27	17.860283
8131_117017_000011_000000	Jenkins, the other cop, had been holding the wallet.	Jenkins, the other cop, had been holding the wallet.	true	213.05	216.37	22.76577
8131_117017_000011_000001	Now he held it out toward Gordon.	Now he held it out toward Gordon.	true	216.83	218.98	24.450571
8131_117017_000011_000002	"The gee was heeled, Corporal.	"The gee was heeled, Corporal.	false	220.13	222.31	21.89703
8131_117017_000011_000003	Must of been making a big contact in something.	Must of been making a big contact in something.	false	223.94	226.83	25.239914
