6128_63240_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	5.595	7.45	16
6128_63240_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	7.46	10.75	14
6128_63240_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	false	10.91	15.75	18.675272
6128_63240_000001_000000	THE BOSTONIANS, VOL.	THE BOSTONIANS, vol	false	15.75	16.05	-20
6128_63240_000001_000001	I (OF II) ***	I (OF two) asterisk asterisk asterisk	false	16.05	16.68	16.361223
6128_63240_000002_000000	Produced by R. Cedron, Mary Meehan and the Online Distributed Proofreading Team at http://www.pgdp.net	Produced by r Cedron, Mary Meehan and the Online Distributed Proofreading Team at h t t p colon slash slash w w w dot p g d p dot net	false	16.68	19.56	15.957931
6128_63240_000003_000000	THE BOSTONIANS	THE BOSTONIANS	false	19.56	20.52	15
6128_63240_000004_000000	A NOVEL	A NOVEL	false	20.52	20.52	
6128_63240_000005_000000	BY HENRY JAMES	BY HENRY james	true	20.52	21.84	10
6128_63240_000006_000000	IN TWO VOLUMES	IN TWO VOLUMES	false	21.84	21.93	-20
6128_63240_000007_000000	VOL.	vol	false	21.93	21.99	-20
6128_63240_000007_000001	I	I	false	21.99	22.02	-20
6128_63240_000008_000000	MACMILLAN AND CO., LIMITED ST.	MACMILLAN AND c o., LIMITED st	false	22.02	22.26	17
6128_63240_000008_000001	MARTIN'S STREET, LONDON 1921	MARTIN'S STREET, LONDON nineteen twenty one	false	22.26	23.01	16.817976
6128_63240_000009_000000	_First Published in_ 1886	underscore First Published in underscore eighteen eighty six	false	23.01	24.72	-20
6128_63240_000010_000000	BOOK FIRST	BOOK FIRST	false	24.72	25.14	-20
6128_63240_000011_000000	I	I	false	25.14	25.38	34
6128_63240_000012_000000	"Olive will come down in about ten minutes; she told me to tell you that.	"Olive will come down in about ten minutes; she told me to tell you that.	true	25.38	29.32	13
6128_63240_000012_000001	About ten; that is exactly like Olive.	About ten; that is exactly like Olive.	false	29.45	32.91	18.9117
6128_63240_000012_000002	Neither five nor fifteen, and yet not ten exactly, but either nine or eleven.	Neither five nor fifteen, and yet not ten exactly, but either nine or eleven.	true	32.91	37.92	14
6128_63240_000012_000003	She didn't tell me to say she was glad to see you, because she doesn't know whether she is or not, and she wouldn't for the world expose herself to telling a fib. She is very honest, is Olive Chancellor; she is full of rectitude. Nobody tells fibs in Boston; I don't know what to make of them all. Well, I am very glad to see you, at any rate."	She didn't tell me to say she was glad to see you, because she doesn't know whether she is or not, and she wouldn't for the world expose herself to telling a fib. She is very honest, is Olive Chancellor; she is full of rectitude. Nobody tells fibs in Boston; I don't know what to make of them all. Well, I am very glad to see you, at any rate."	false	37.92	59.83	17.86459
